"genes"	"logFC"	"p_value"	"q_value"
"555"	"AKAP14"	0	1	1
"556"	"AKAP17A"	-0.29731	0.73275	0.99948
"557"	"AKAP2"	0.267273	0.71985	0.99948
"558"	"AKAP3"	768.314	1	1
"559"	"AKAP4"	-797.519	1	1
"560"	"AKAP5"	2.39142	1	1
"561"	"AKAP6"	2.79862	1	1
"562"	"AKAP7"	-1.72161	0.19735	0.957168
"563"	"AKAP8"	0.32348	0.84295	0.99948
"564"	"AKAP8L"	-0.86139	0.58255	0.99948
"565"	"AKAP9"	0.244798	0.81215	0.99948
"566"	"AKIP1"	0.42393	0.62215	0.99948
"567"	"AKIRIN1"	-0.0912536	0.96515	0.99948
"568"	"AKIRIN2"	0.371014	0.4528	0.99948
"569"	"AKNA"	0.0316831	0.962	0.99948
"570"	"AKNAD1"	0	1	1
"571"	"AKR1A1"	-0.665201	0.34975	0.99948
"572"	"AKR1B1"	0.0446103	0.6961	0.99948
"573"	"AKR1B10"	0.580301	1	1
"574"	"AKR1B15"	6.07785	1	1
"575"	"AKR1C1"	2.0348	0.02385	0.357676
"576"	"AKR1C2"	2.17438	0.0948	0.752118
"577"	"AKR1C3"	1.82709	0.11725	0.809243
"578"	"AKR1C4"	1.41112	1	1
"579"	"AKR1C6P"	-0.709121	1	1
"580"	"AKR1C8P"	2.59798	1	1
"581"	"AKR1D1"	4.9587	1	1
"582"	"AKR1E2"	-797.519	1	1
"583"	"AKR7A2"	-0.759837	0.43	0.99948
"584"	"AKR7A2P1"	0	1	1
"585"	"AKR7A3"	-2.07394	1	1
"586"	"AKR7L"	3.95	1	1
"587"	"AKT1"	-0.430033	0.49	0.99948
"588"	"AKT1S1"	0.736051	0.48255	0.99948
"589"	"AKT2"	0.13939	0.9443	0.99948
"590"	"AKT3"	0.546953	0.69715	0.99948
"591"	"AKTIP"	-0.0532396	0.9708	0.99948
"592"	"ALAD"	-0.147912	0.9105	0.99948
"593"	"ALAS1"	-0.213154	0.9364	0.99948
"594"	"ALAS2"	768.314	0.11675	0.808713
"595"	"ALB"	4.97263	2e-04	0.0131104
"596"	"ALCAM"	-0.0521258	0.9316	0.99948
"597"	"ALDH16A1"	-0.717746	0.50695	0.99948
"598"	"ALDH18A1"	-0.280815	0.8025	0.99948
"599"	"ALDH1A1"	-0.0626075	0.9656	0.99948
"600"	"ALDH1A2"	-0.0892014	0.9444	0.99948
"601"	"ALDH1A3"	-0.175823	0.74955	0.99948
"602"	"ALDH1B1"	-1.34754	0.1548	0.887451
"603"	"ALDH1L1"	0.397604	0.73995	0.99948
"604"	"ALDH1L1-AS1"	-797.519	1	1
"605"	"ALDH1L1-AS2"	-797.519	1	1
"606"	"ALDH1L2"	-1.16849	0.22045	0.974331
"607"	"ALDH2"	0.327921	0.58615	0.99948
"608"	"ALDH3A1"	1.58356	0.23015	0.985202
"609"	"ALDH3A2"	-1.13997	0.5817	0.99948
"610"	"ALDH3B1"	-0.258435	0.8446	0.99948
"611"	"ALDH3B2"	3.33218	0.03865	0.479797
"612"	"ALDH4A1"	-1.84541	0.0974	0.760665
"613"	"ALDH5A1"	2.56198	0.0113	0.218271
"614"	"ALDH6A1"	0.266377	0.83975	0.99948
"615"	"ALDH7A1"	0.718582	0.6054	0.99948
"616"	"ALDH8A1"	-1.5326	0.27485	0.99948
"617"	"ALDH9A1"	1.48038	0.45555	0.99948
"618"	"ALDOA"	0.176354	0.7804	0.99948
"619"	"ALDOB"	1.46747	0.0035	0.0962135
"620"	"ALDOC"	-0.815452	0.3788	0.99948
"621"	"ALG1"	2.80584	0.0196	0.313405
"622"	"ALG10"	-1.40711	0.0794	0.691682
"623"	"ALG10B"	0.883826	0.3832	0.99948
"624"	"ALG11"	-1.53718	0.3311	0.99948
"625"	"ALG12"	1.42867	0.10925	0.793853
"626"	"ALG13"	-0.337767	0.70905	0.99948
"627"	"ALG14"	0.134449	0.92995	0.99948
"628"	"ALG1L"	-1.52933	1	1
"629"	"ALG1L2"	-0.838741	1	1
"630"	"ALG1L9P"	1.1036	1	1
"631"	"ALG2"	-1.59262	0.1615	0.902158
"632"	"ALG3"	-0.275956	0.7915	0.99948
"633"	"ALG5"	-0.672959	0.54	0.99948
"634"	"ALG6"	0.275092	1	1
"635"	"ALG8"	-0.0160081	0.98795	0.99948
"636"	"ALG9"	0.525853	0.49255	0.99948
"637"	"ALK"	6.46078	1	1
"638"	"ALKBH1"	-0.460725	0.5743	0.99948
"639"	"ALKBH2"	-0.723275	0.6258	0.99948
"640"	"ALKBH3"	0.826887	0.5681	0.99948
"641"	"ALKBH3-AS1"	-3.6091	0.4404	0.99948
"642"	"ALKBH4"	-1.84614	0.3747	0.99948
"643"	"ALKBH5"	0.230357	0.7748	0.99948
"644"	"ALKBH6"	-3.32624	0.1053	0.785054
"645"	"ALKBH7"	1.35213	0.17935	0.932383
"646"	"ALKBH8"	-3.9611	0.03355	0.438663
"647"	"ALLC"	1.47165	1	1
"648"	"ALMS1"	-0.610958	0.72995	0.99948
"649"	"ALMS1-IT1"	-2.31593	1	1
"650"	"ALMS1P"	0	1	1
"651"	"ALOX12"	0.243817	0.8718	0.99948
"652"	"ALOX12-AS1"	3.83699	0.3003	0.99948
"653"	"ALOX12B"	0	1	1
"654"	"ALOX12P2"	-6.15934	0.0572	0.586867
"655"	"ALOX15"	3.16822	1	1
"656"	"ALOX15B"	-1.07988	0.29525	0.99948
"657"	"ALOX15P1"	0	1	1
"658"	"ALOX5"	0.201076	0.86035	0.99948
"659"	"ALOX5AP"	0.0686084	0.93595	0.99948
"660"	"ALOXE3"	768.314	1	1
"661"	"ALPI"	-797.519	1	1
"662"	"ALPK1"	-0.0350216	0.9632	0.99948
"663"	"ALPK2"	0.858082	1	1
"664"	"ALPK3"	0.163058	0.8969	0.99948
"665"	"ALPL"	-1.48448	0.23735	0.989133
"666"	"ALPP"	1.60569	1	1
"667"	"ALPPL2"	0	1	1
"668"	"ALS2"	-0.950008	0.36425	0.99948
"669"	"ALS2CL"	0.427421	0.7355	0.99948
"670"	"ALS2CR11"	768.314	1	1
"671"	"ALS2CR12"	1.84659	1	1
"672"	"ALX1"	0	1	1
"673"	"ALX3"	0.149337	1	1
"674"	"ALX4"	-3.28177	1	1
"675"	"ALYREF"	-0.770991	0.5972	0.99948
"676"	"AMACR"	-0.023406	0.9816	0.99948
"677"	"AMBN"	0	1	1
"678"	"AMBP"	0	1	1
"679"	"AMBRA1"	0.0650796	0.96745	0.99948
"680"	"AMD1"	-0.91693	0.3645	0.99948
"681"	"AMDHD1"	1.86959	1	1
"682"	"AMDHD2"	-1.28296	0.36955	0.99948
"683"	"AMELX"	0	1	1
"684"	"AMELY"	0	1	1
"685"	"AMER1"	0.353424	1	1
"686"	"AMER2"	0.607872	1	1
"687"	"AMER3"	0.237787	1	1
"688"	"AMFR"	-0.517757	0.7365	0.99948
"689"	"AMH"	0	1	1
"690"	"AMHR2"	0	1	1
"691"	"AMICA1"	0.385625	0.91715	0.99948
"692"	"AMIGO1"	-4.47175	1e-04	0.00770585
"693"	"AMIGO2"	-0.472405	0.78565	0.99948
"694"	"AMIGO3"	-1.15628	0.55845	0.99948
"695"	"AMMECR1"	-0.833278	0.417	0.99948
"696"	"AMMECR1L"	1.15146	0.36675	0.99948
"697"	"AMN"	-0.467659	1	1
"698"	"AMN1"	-0.828218	0.44655	0.99948
"699"	"AMOT"	-1.87163	0.13905	0.852483
"700"	"AMOTL1"	-0.723516	0.5014	0.99948
"701"	"AMOTL2"	1.24405	0.4167	0.99948
"702"	"AMPD1"	0	1	1
"703"	"AMPD2"	0.570246	0.73805	0.99948
"704"	"AMPD3"	0.0840163	0.8868	0.99948
"705"	"AMPH"	0	1	1
"706"	"AMT"	-1.12919	0.4081	0.99948
"707"	"AMTN"	0	1	1
"708"	"AMY1A"	3.16399	1	1
"709"	"AMY1B"	-0.280044	1	1
"710"	"AMY1C"	-0.273092	1	1
"711"	"AMY2A"	2.94173	0.001	0.0408085
"712"	"AMY2B"	-0.358792	0.8026	0.99948
"713"	"AMZ1"	0.601962	1	1
"714"	"AMZ2"	-0.161726	0.8846	0.99948
"715"	"AMZ2P1"	-0.807684	0.40515	0.99948
"716"	"ANAPC1"	0.169713	0.8984	0.99948
"717"	"ANAPC10"	4.91136	0.07725	0.681612
"718"	"ANAPC11"	-0.170021	0.8715	0.99948
"719"	"ANAPC13"	0.867302	0.51265	0.99948
"720"	"ANAPC15"	-1.34433	0.2976	0.99948
"721"	"ANAPC16"	0.973903	0.29295	0.99948
"722"	"ANAPC1P1"	-1.25054	0.40965	0.99948
"723"	"ANAPC2"	-0.908067	0.57115	0.99948
"724"	"ANAPC4"	-1.26701	0.32085	0.99948
"725"	"ANAPC5"	0.57269	0.6147	0.99948
"726"	"ANAPC7"	-0.461349	0.6522	0.99948
"727"	"ANG"	-1.2574	0.5602	0.99948
"728"	"ANGEL1"	-1.46899	0.21805	0.973457
"729"	"ANGEL2"	0.630068	0.5907	0.99948
"730"	"ANGPT1"	0.697932	1	1
"731"	"ANGPT2"	2.76808	1	1
"732"	"ANGPT4"	0	1	1
"733"	"ANGPTL1"	-797.519	1	1
"734"	"ANGPTL2"	1.78295	0.63815	0.99948
"735"	"ANGPTL3"	7.01945	0.3813	0.99948
"736"	"ANGPTL4"	0.636764	0.53885	0.99948
"737"	"ANGPTL5"	0	1	1
"738"	"ANGPTL6"	-1.47815	0.49135	0.99948
"739"	"ANGPTL7"	-797.519	1	1
"740"	"ANHX"	0	1	1
"741"	"ANK1"	0.371814	1	1
"742"	"ANK2"	7.40136	0.2046	0.961342
"743"	"ANK3"	2.26248	0.07285	0.666274
"744"	"ANKAR"	-1.07924	1	1
"745"	"ANKDD1A"	-1.49895	0.1802	0.933935
"746"	"ANKDD1B"	-5.09639	5e-05	0.00458449
"747"	"ANKEF1"	2.75464	1	1
"748"	"ANKFN1"	1.31514	1	1
"749"	"ANKFY1"	-0.947219	0.5218	0.99948
"750"	"ANKH"	0.33087	0.8476	0.99948
"751"	"ANKHD1"	0.507221	0.61595	0.99948
"752"	"ANKHD1-EIF4EBP3"	0.875403	0.5083	0.99948
"753"	"ANKIB1"	0.704286	0.63975	0.99948
"754"	"ANKK1"	5.97138	1	1
"755"	"ANKLE1"	-2.64729	0.01405	0.254428
"756"	"ANKLE2"	1.0662	0.1244	0.818016
"757"	"ANKMY1"	1.03477	0.59395	0.99948
"758"	"ANKMY2"	-1.14231	0.24965	0.994777
"759"	"ANKRA2"	2.52115	0.03155	0.418941
"760"	"ANKRD1"	-0.674805	0.39745	0.99948
"761"	"ANKRD10"	-1.06205	0.36345	0.99948
"762"	"ANKRD11"	0.413268	0.49925	0.99948
"763"	"ANKRD12"	0.565559	0.41645	0.99948
"764"	"ANKRD13A"	0.184891	0.73545	0.99948
"765"	"ANKRD13B"	0.573899	1	1
"766"	"ANKRD13C"	-1.54441	0.14035	0.857188
"767"	"ANKRD13D"	0.284152	0.82455	0.99948
"768"	"ANKRD16"	-3.51906	0.0361	0.460602
"769"	"ANKRD17"	0.475016	0.44605	0.99948
"770"	"ANKRD18A"	-3.55482	3e-04	0.0171106
"771"	"ANKRD18B"	2.09075	1	1
"772"	"ANKRD18DP"	768.314	1	1
"773"	"ANKRD19P"	-2.49856	1	1
"774"	"ANKRD2"	768.314	1	1
"775"	"ANKRD20A1"	1.19557	1	1
"776"	"ANKRD20A11P"	-1.16976	1	1
"777"	"ANKRD20A12P"	6.21369	1	1
"778"	"ANKRD20A19P"	-0.706538	1	1
"779"	"ANKRD20A2"	0.0526491	1	1
"780"	"ANKRD20A3"	-3.12706	1	1
"781"	"ANKRD20A4"	0.131688	1	1
"782"	"ANKRD20A5P"	2.16495	1	1
"783"	"ANKRD20A8P"	-0.0069758	1	1
"784"	"ANKRD20A9P"	0.517484	0.30915	0.99948
"785"	"ANKRD22"	-0.857255	0.4883	0.99948
"786"	"ANKRD23"	768.314	1	1
"787"	"ANKRD24"	-0.863502	1	1
"788"	"ANKRD26"	-1.1701	0.23555	0.987026
"789"	"ANKRD26P1"	-797.519	1	1
"790"	"ANKRD26P3"	0	1	1
"791"	"ANKRD27"	-0.910747	0.4711	0.99948
"792"	"ANKRD28"	0.95746	0.5046	0.99948
"793"	"ANKRD29"	1.27607	0.34065	0.99948
"794"	"ANKRD30A"	-797.519	1	1
"795"	"ANKRD30B"	-797.519	1	1
"796"	"ANKRD30BL"	-797.519	1	1
"797"	"ANKRD30BP2"	1.26835	1	1
"798"	"ANKRD30BP3"	768.314	1	1
"799"	"ANKRD31"	-797.519	1	1
"800"	"ANKRD33"	768.314	0.0527	0.56368
"801"	"ANKRD33B"	0.547193	0.68985	0.99948
"802"	"ANKRD34A"	7.00122	5e-05	0.00458449
"803"	"ANKRD34B"	0.0772797	1	1
"804"	"ANKRD34C"	0	1	1
"805"	"ANKRD34C-AS1"	0	1	1
"806"	"ANKRD35"	4.09028	1	1
"807"	"ANKRD36"	-0.828188	0.6684	0.99948
"808"	"ANKRD36B"	-0.67952	0.68165	0.99948
"809"	"ANKRD36BP1"	0.472587	0.7726	0.99948
"810"	"ANKRD36BP2"	0.989415	0.28945	0.99948
"811"	"ANKRD36C"	0.672281	0.2165	0.973457
"812"	"ANKRD37"	1.19409	0.4515	0.99948
"813"	"ANKRD39"	-4.59026	0.0013	0.04829
"814"	"ANKRD40"	-0.691242	0.7215	0.99948
"815"	"ANKRD42"	0.641292	0.43685	0.99948
"816"	"ANKRD44"	0.23579	0.75705	0.99948
"817"	"ANKRD44-IT1"	-0.840106	0.7602	0.99948
"818"	"ANKRD45"	2.74598	0.0034	0.0941793
"819"	"ANKRD46"	-2.70855	0.04725	0.536911
"820"	"ANKRD49"	-1.90045	0.024	0.359182
"821"	"ANKRD50"	0.0563667	0.9675	0.99948
"822"	"ANKRD52"	0.176606	0.91315	0.99948
"823"	"ANKRD53"	768.314	1	1
"824"	"ANKRD54"	-2.48365	0.1461	0.869042
"825"	"ANKRD55"	0	1	1
"826"	"ANKRD6"	-1.24304	1	1
"827"	"ANKRD60"	0.354956	1	1
"828"	"ANKRD61"	4.71758	1	1
"829"	"ANKRD62"	-0.432546	1	1
"830"	"ANKRD62P1-PARP4P3"	3.22241	1	1
"831"	"ANKRD63"	0	1	1
"832"	"ANKRD65"	0.319701	0.7613	0.99948
"833"	"ANKRD66"	-797.519	1	1
"834"	"ANKRD7"	0	1	1
"835"	"ANKRD9"	2.60433	0.00315	0.0879269
"836"	"ANKS1A"	0.773989	0.7277	0.99948
"837"	"ANKS1B"	-1.02978	0.52695	0.99948
"838"	"ANKS3"	-1.58072	0.21545	0.973457
"839"	"ANKS4B"	-4.02635	0.00015	0.0107577
"840"	"ANKS6"	2.66582	0.0042	0.107882
"841"	"ANKUB1"	0	1	1
"842"	"ANKZF1"	-2.43504	0.09805	0.764917
"843"	"ANLN"	-2.16951	0.2496	0.994777
"844"	"ANO1"	2.50968	0.0752	0.674148
"845"	"ANO1-AS2"	0	1	1
"846"	"ANO10"	-0.836461	0.45095	0.99948
"847"	"ANO2"	2.92204	1	1
"848"	"ANO3"	0	1	1
"849"	"ANO4"	3.80435	1	1
"850"	"ANO5"	-1.91511	1	1
"851"	"ANO6"	-0.495908	0.57895	0.99948
"852"	"ANO7"	-3.03022	1	1
"853"	"ANO8"	0.827781	0.54425	0.99948
"854"	"ANO9"	3.53841	0.00125	0.0472813
"855"	"ANOS1"	1.49861	0.1595	0.899446
"856"	"ANP32A"	0.0477411	0.94455	0.99948
"857"	"ANP32A-IT1"	1.36149	0.3732	0.99948
"858"	"ANP32AP1"	0.629247	0.4499	0.99948
"859"	"ANP32B"	-0.0839034	0.8701	0.99948
"860"	"ANP32C"	-0.436662	1	1
"861"	"ANP32D"	768.314	1	1
"862"	"ANP32E"	0.860857	0.4002	0.99948
"863"	"ANPEP"	-0.379866	0.50985	0.99948
"864"	"ANTXR1"	0.339579	0.80555	0.99948
"865"	"ANTXR2"	0.522197	0.6516	0.99948
"866"	"ANTXRL"	0	1	1
"867"	"ANTXRLP1"	1.19492	1	1
"868"	"ANXA1"	0.11546	0.8437	0.99948
"869"	"ANXA10"	768.314	5e-05	0.00458449
"870"	"ANXA11"	0.332047	0.63375	0.99948
"871"	"ANXA13"	768.314	1	1
"872"	"ANXA2"	-0.777245	0.22785	0.983277
"873"	"ANXA2P1"	-3.27875	1	1
"874"	"ANXA2P2"	-0.843995	0.4411	0.99948
"875"	"ANXA2P3"	-4.17646	1	1
"876"	"ANXA2R"	0.756627	1	1
"877"	"ANXA3"	-0.871905	0.6317	0.99948
"878"	"ANXA4"	0.293526	0.56065	0.99948
"879"	"ANXA5"	-0.0183627	0.96265	0.99948
"880"	"ANXA6"	-0.616296	0.6585	0.99948
"881"	"ANXA7"	-0.200584	0.80735	0.99948
"882"	"ANXA8"	768.314	0.1169	0.808713
"883"	"ANXA8L1"	768.314	0.11665	0.808713
"884"	"ANXA9"	1.32344	0.26305	0.99948
"885"	"AOAH"	-0.0315724	0.98285	0.99948
"886"	"AOAH-IT1"	-2.21924	1	1
"887"	"AOC1"	0.270484	0.78635	0.99948
"888"	"AOC2"	-0.87695	0.5111	0.99948
"889"	"AOC3"	-2.13371	0.1929	0.951216
"890"	"AOC4P"	1.83881	1	1
"891"	"AOX1"	-2.22463	0.0167	0.283478
"892"	"AOX2P"	-0.896469	1	1
"893"	"AP1AR"	-0.280526	0.81945	0.99948
"894"	"AP1B1"	0.0319904	0.9604	0.99948
"895"	"AP1B1P1"	-1.38734	1	1
"896"	"AP1G1"	-0.209212	0.72235	0.99948
"897"	"AP1G2"	0.0458884	0.9684	0.99948
"898"	"AP1M1"	-0.145628	0.896	0.99948
"899"	"AP1M2"	-0.520452	0.61475	0.99948
"900"	"AP1S1"	0.0779962	0.9401	0.99948
"901"	"AP1S2"	0.370973	0.79915	0.99948
"902"	"AP1S3"	0.213592	0.80225	0.99948
"903"	"AP2A1"	-0.337342	0.8312	0.99948
"904"	"AP2A2"	-0.280828	0.8469	0.99948
"905"	"AP2B1"	-0.776615	0.1816	0.935243
"906"	"AP2M1"	-0.575318	0.32055	0.99948
"907"	"AP2S1"	-0.149926	0.87605	0.99948
"908"	"AP3B1"	-0.0784151	0.8892	0.99948
"909"	"AP3B2"	-0.609077	1	1
"910"	"AP3D1"	-0.2356	0.7125	0.99948
"911"	"AP3M1"	-0.966441	0.5206	0.99948
"912"	"AP3M2"	0.729789	0.5017	0.99948
"913"	"AP3S1"	-0.963099	0.50435	0.99948
"914"	"AP3S2"	1.14111	0.48755	0.99948
"915"	"AP4B1"	-1.22788	0.40345	0.99948
"916"	"AP4B1-AS1"	-0.296217	0.79855	0.99948
"917"	"AP4E1"	-1.09689	0.52845	0.99948
"918"	"AP4M1"	0.143788	0.9348	0.99948
"919"	"AP4S1"	1.08185	0.40915	0.99948
"920"	"AP5B1"	-0.653712	0.6663	0.99948
"921"	"AP5M1"	0.946239	0.4064	0.99948
"922"	"AP5S1"	-1.35339	0.1777	0.931046
"923"	"AP5Z1"	0.431457	0.78295	0.99948
"924"	"APAF1"	0.0963751	0.92075	0.99948
"925"	"APBA1"	5.77335	0.0031	0.0875433
"926"	"APBA2"	-1.64955	1	1
"927"	"APBA3"	-0.523005	0.7897	0.99948
"928"	"APBB1"	2.62434	0.12765	0.826212
"929"	"APBB1IP"	0.179514	0.3644	0.99948
"930"	"APBB2"	1.91248	0.04735	0.536911
"931"	"APBB3"	0.956107	0.4887	0.99948
"932"	"APC"	0.129561	0.89595	0.99948
"933"	"APC2"	0.524216	1	1
"934"	"APCDD1"	-2.79324	0.00125	0.0472813
"935"	"APCDD1L"	-2.38314	1	1
"936"	"APCDD1L-AS1"	768.314	1	1
"937"	"APCS"	0	1	1
"938"	"APEH"	-0.779405	0.52275	0.99948
"939"	"APELA"	-9.09725	0.24945	0.994777
"940"	"APEX1"	-0.453283	0.7397	0.99948
"941"	"APEX2"	1.63907	0.14295	0.863799
"942"	"APH1A"	0.0912045	0.90005	0.99948
"943"	"APH1B"	-0.694018	0.51355	0.99948
"944"	"API5"	-0.133396	0.8685	0.99948
"945"	"APIP"	1.05771	0.49275	0.99948
"946"	"APITD1"	1.17917	0.59945	0.99948
"947"	"APITD1-CORT"	8.95704	0.1352	0.843879
"948"	"APLF"	-0.664557	0.4557	0.99948
"949"	"APLN"	768.314	1	1
"950"	"APLNR"	-6.61397	1	1
"951"	"APLP1"	-1.19098	1	1
"952"	"APLP2"	-0.027173	0.95395	0.99948
"953"	"APMAP"	-0.104617	0.8418	0.99948
"954"	"APOA1"	768.314	1	1
"955"	"APOA1-AS"	-797.519	0.07195	0.660964
"956"	"APOA1BP"	-0.10698	0.89765	0.99948
"957"	"APOA2"	0.985988	0.2065	0.961533
"958"	"APOA4"	0	1	1
"959"	"APOA5"	0	1	1
"960"	"APOB"	0	1	1
"961"	"APOBEC1"	0	1	1
"962"	"APOBEC2"	4.66466	1	1
"963"	"APOBEC3A"	0.365856	0.7745	0.99948
"964"	"APOBEC3A_B"	0.385204	0.8071	0.99948
"965"	"APOBEC3B"	0.358017	0.7874	0.99948
"966"	"APOBEC3B-AS1"	-1.54883	0.26845	0.99948
"967"	"APOBEC3C"	0.240238	0.81885	0.99948
"968"	"APOBEC3D"	2.15838	0.0279	0.392415
"969"	"APOBEC3F"	-1.61656	0.0986	0.765087
"970"	"APOBEC3G"	0.76152	0.42525	0.99948
"971"	"APOBEC3H"	-0.481591	1	1
"972"	"APOBEC4"	-797.519	1	1
"973"	"APOBR"	-0.408779	0.62525	0.99948
"974"	"APOC1"	-0.177679	0.6611	0.99948
"975"	"APOC1P1"	-0.481195	0.7327	0.99948
"976"	"APOC2"	-0.613243	0.68405	0.99948
"977"	"APOC3"	0	1	1
"978"	"APOC4"	0.887397	1	1
"979"	"APOC4-APOC2"	-5.08446	1	1
"980"	"APOD"	-2.55467	0.00405	0.105148
"981"	"APOE"	-0.0790107	0.88485	0.99948
"982"	"APOF"	-797.519	1	1
"983"	"APOH"	768.314	1	1
"984"	"APOL1"	0.636642	0.73805	0.99948
"985"	"APOL2"	0.388622	0.46795	0.99948
"986"	"APOL3"	0.259181	0.88125	0.99948
"987"	"APOL4"	-0.168596	0.87255	0.99948
"988"	"APOL5"	0	1	1
"989"	"APOL6"	-0.687018	0.2779	0.99948
"990"	"APOLD1"	2.53622	0.0086	0.181881
"991"	"APOM"	1.10286	0.5751	0.99948
"992"	"APOO"	-2.65613	0.0499	0.547238
"993"	"APOOL"	0.0773115	0.94705	0.99948
"994"	"APOOP5"	0	1	1
"995"	"APOPT1"	0.88962	0.38655	0.99948
"996"	"APP"	-0.438737	0.51455	0.99948
"997"	"APPBP2"	0.121336	0.9609	0.99948
"998"	"APPL1"	0.28528	0.8694	0.99948
"999"	"APPL2"	-0.651687	0.66265	0.99948
"1000"	"APRT"	0.461493	0.64985	0.99948
"1001"	"APTR"	1.89279	0.4088	0.99948
"1002"	"APTX"	-1.72691	0.1065	0.788383
"1003"	"AQP1"	1.30018	0.29135	0.99948
"1004"	"AQP10"	0	1	1
"1005"	"AQP11"	-4.89096	1	1
"1006"	"AQP12A"	0	1	1
"1007"	"AQP12B"	0	1	1
"1008"	"AQP2"	2.20497	0.10805	0.790432
"1009"	"AQP3"	0.609741	0.2418	0.991344
"1010"	"AQP4"	0	1	1
"1011"	"AQP4-AS1"	-0.332156	1	1
"1012"	"AQP5"	0	1	1
"1013"	"AQP6"	1.31752	1	1
"1014"	"AQP7"	-797.519	5e-05	0.00458449
"1015"	"AQP7P1"	-2.7881	1	1
"1016"	"AQP7P3"	-6.75296	0.05155	0.557982
"1017"	"AQP8"	0	1	1
"1018"	"AQP9"	-0.0396725	0.93155	0.99948
"1019"	"AQR"	0.283764	0.8906	0.99948
"1020"	"AR"	-3.77232	0.0107	0.209474
"1021"	"ARAF"	0.108619	0.9352	0.99948
"1022"	"ARAP1"	-0.186841	0.82135	0.99948
"1023"	"ARAP2"	0.606296	0.5256	0.99948
"1024"	"ARAP3"	0.344102	0.84875	0.99948
"1025"	"ARC"	1.61933	0.07845	0.688001
"1026"	"ARCN1"	0.771683	0.22355	0.978769
"1027"	"AREG"	0.912877	0.62755	0.99948
"1028"	"AREL1"	-0.665227	0.50115	0.99948
"1029"	"ARF1"	-0.0718161	0.906	0.99948
"1030"	"ARF3"	0.248303	0.67375	0.99948
"1031"	"ARF4"	0.159925	0.7884	0.99948
"1032"	"ARF5"	0.767168	0.6846	0.99948
"1033"	"ARF6"	0.389321	0.54415	0.99948
"1034"	"ARFGAP1"	0.378048	0.73825	0.99948
"1035"	"ARFGAP2"	0.517264	0.7148	0.99948
"1036"	"ARFGAP3"	-0.265021	0.65295	0.99948
"1037"	"ARFGEF1"	-0.281658	0.62885	0.99948
"1038"	"ARFGEF2"	-0.294375	0.57375	0.99948
"1039"	"ARFGEF3"	-0.54273	0.7626	0.99948
"1040"	"ARFIP1"	-1.19515	0.25275	0.994777
"1041"	"ARFIP2"	-0.780255	0.559	0.99948
"1042"	"ARFRP1"	0.323568	0.76955	0.99948
"1043"	"ARG1"	-797.519	1	1
"1044"	"ARG2"	2.54514	0.10875	0.792815
"1045"	"ARGFX"	0.541061	1	1
"1046"	"ARGFXP2"	3.34677	1	1
"1047"	"ARGLU1"	-0.108208	0.66455	0.99948
"1048"	"ARHGAP1"	-0.990115	0.5227	0.99948
"1049"	"ARHGAP10"	0.34524	0.872	0.99948
"1050"	"ARHGAP11A"	2.71844	0.056	0.581557
"1051"	"ARHGAP11B"	3.96166	0.00015	0.0107577
"1052"	"ARHGAP12"	0.830582	0.4698	0.99948
"1053"	"ARHGAP15"	0.337454	0.7931	0.99948
"1054"	"ARHGAP17"	-1.42475	0.2856	0.99948
"1055"	"ARHGAP18"	0.225815	0.6397	0.99948
"1056"	"ARHGAP19"	-0.351285	0.76945	0.99948
"1057"	"ARHGAP19-SLIT1"	-0.928801	1	1
"1058"	"ARHGAP20"	-0.690534	0.5713	0.99948
"1059"	"ARHGAP21"	0.557928	0.3153	0.99948
"1060"	"ARHGAP22"	-0.249817	0.8089	0.99948
"1061"	"ARHGAP23"	0.476278	0.67225	0.99948
"1062"	"ARHGAP24"	0.592808	0.5715	0.99948
"1063"	"ARHGAP25"	0.195847	0.83925	0.99948
"1064"	"ARHGAP26"	0.654255	0.27575	0.99948
"1065"	"ARHGAP26-AS1"	4.3442	1	1
"1066"	"ARHGAP26-IT1"	-797.519	1	1
"1067"	"ARHGAP27"	-0.338445	0.59945	0.99948
"1068"	"ARHGAP28"	3.54353	1	1
"1069"	"ARHGAP29"	-0.214162	0.82405	0.99948
"1070"	"ARHGAP30"	-0.222594	0.7837	0.99948
"1071"	"ARHGAP31"	-0.35498	0.5061	0.99948
"1072"	"ARHGAP31-AS1"	-3.34712	0.1699	0.921703
"1073"	"ARHGAP32"	0.322955	0.8897	0.99948
"1074"	"ARHGAP33"	-3.995	0.2915	0.99948
"1075"	"ARHGAP35"	0.0301684	0.9345	0.99948
"1076"	"ARHGAP36"	0	1	1
"1077"	"ARHGAP39"	7.4392	0.48465	0.99948
"1078"	"ARHGAP4"	-0.0964277	0.9727	0.99948
"1079"	"ARHGAP40"	1.31846	0.15275	0.882332
"1080"	"ARHGAP42"	-0.524721	1	1
"1081"	"ARHGAP44"	4.16788	1	1
"1082"	"ARHGAP5"	0.359241	0.5184	0.99948
"1083"	"ARHGAP5-AS1"	-1.98763	0.01535	0.26922
"1084"	"ARHGAP6"	-1.70818	0.18805	0.943561
"1085"	"ARHGAP8"	2.50779	0.29855	0.99948
"1086"	"ARHGAP9"	-0.019484	0.98755	0.99948
"1087"	"ARHGDIA"	0.244673	0.6952	0.99948
"1088"	"ARHGDIB"	-0.0176281	0.97215	0.99948
